time_iso8601,forks_cumulative
2023-07-05 00:00:00+00:00,1
2023-07-06 00:00:00+00:00,2
2023-07-13 00:00:00+00:00,3
2023-07-20 00:00:00+00:00,4
2023-08-29 00:00:00+00:00,5
2023-09-07 00:00:00+00:00,6
2023-09-13 00:00:00+00:00,7
2023-09-19 00:00:00+00:00,8
2023-10-10 00:00:00+00:00,9
2023-11-01 00:00:00+00:00,10
2023-12-05 00:00:00+00:00,11
2024-01-09 00:00:00+00:00,12
2024-01-17 00:00:00+00:00,13
2024-01-21 00:00:00+00:00,14
2024-01-23 00:00:00+00:00,15
2024-02-02 00:00:00+00:00,16
2024-02-08 00:00:00+00:00,17
2024-02-24 00:00:00+00:00,18
2024-03-26 00:00:00+00:00,19
2024-04-01 00:00:00+00:00,21
2024-04-15 00:00:00+00:00,22
2024-04-19 00:00:00+00:00,23
2024-04-29 00:00:00+00:00,24
2024-04-30 00:00:00+00:00,25
2024-05-20 00:00:00+00:00,26
2024-05-21 00:00:00+00:00,27
2024-06-14 00:00:00+00:00,28
2024-07-03 00:00:00+00:00,29
2024-07-08 00:00:00+00:00,31
2024-07-15 00:00:00+00:00,32
2024-07-18 00:00:00+00:00,33
2024-07-22 00:00:00+00:00,34
2024-08-07 00:00:00+00:00,35
2024-08-09 00:00:00+00:00,36
2024-08-12 00:00:00+00:00,37
2024-08-14 00:00:00+00:00,38
2024-09-06 00:00:00+00:00,39
2025-01-10 00:00:00+00:00,40
2025-01-16 00:00:00+00:00,41
2025-02-07 00:00:00+00:00,42
2025-02-17 00:00:00+00:00,43
2025-02-20 00:00:00+00:00,44
2025-03-20 00:00:00+00:00,45
2025-04-02 00:00:00+00:00,46
2025-04-08 00:00:00+00:00,47
2025-05-02 00:00:00+00:00,48
2025-05-13 00:00:00+00:00,49
