time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-26 00:00:00+00:00,56.0,10.0,115,28
2025-05-27 00:00:00+00:00,51.0,15.0,74,21
2025-05-28 00:00:00+00:00,15.0,5.0,70,22
2025-05-29 00:00:00+00:00,14.0,6.0,30,16
2025-05-30 00:00:00+00:00,15.0,4.0,35,17
2025-05-31 00:00:00+00:00,12.0,5.0,75,18
2025-06-01 00:00:00+00:00,26.0,6.0,52,16
2025-06-02 00:00:00+00:00,15.0,6.0,55,23
2025-06-03 00:00:00+00:00,14.0,7.0,71,23
2025-06-04 00:00:00+00:00,11.0,4.0,79,21
2025-06-05 00:00:00+00:00,15.0,6.0,118,33
2025-06-06 00:00:00+00:00,12.0,4.0,18,13
2025-06-07 00:00:00+00:00,14.0,7.0,62,21
2025-06-08 00:00:00+00:00,,,66,22
