time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,0,0,51,18
2025-02-13 00:00:00+00:00,18,8,92,21
2025-02-14 00:00:00+00:00,8,3,108,25
2025-02-15 00:00:00+00:00,1,1,29,11
2025-02-16 00:00:00+00:00,1,1,16,8
2025-02-17 00:00:00+00:00,15,7,112,12
2025-02-18 00:00:00+00:00,0,0,123,28
2025-02-19 00:00:00+00:00,5,3,120,16
2025-02-20 00:00:00+00:00,20,10,195,32
2025-02-21 00:00:00+00:00,81,26,218,19
2025-02-22 00:00:00+00:00,4,4,8,7
2025-02-23 00:00:00+00:00,2,2,37,5
2025-02-24 00:00:00+00:00,5,4,44,15
2025-02-25 00:00:00+00:00,5,3,219,53
2025-02-26 00:00:00+00:00,31,16,198,43
2025-02-27 00:00:00+00:00,9,4,72,14
2025-02-28 00:00:00+00:00,7,3,66,10
2025-03-01 00:00:00+00:00,15,6,29,8
2025-03-02 00:00:00+00:00,4,2,10,4
2025-03-03 00:00:00+00:00,4,3,38,11
2025-03-04 00:00:00+00:00,3,2,37,8
2025-03-05 00:00:00+00:00,3,2,79,17
2025-03-06 00:00:00+00:00,8,4,29,17
2025-03-07 00:00:00+00:00,6,4,77,15
2025-03-08 00:00:00+00:00,7,5,40,9
2025-03-09 00:00:00+00:00,6,3,41,9
2025-03-10 00:00:00+00:00,10,7,63,13
2025-03-11 00:00:00+00:00,6,3,164,14
2025-03-12 00:00:00+00:00,7,4,67,13
2025-03-13 00:00:00+00:00,13,8,160,29
2025-03-14 00:00:00+00:00,36,13,393,55
2025-03-15 00:00:00+00:00,4,4,71,8
